country,city,hotel_name,hotel_address
Italy,Milan,Admiral Hotel,Via Domodossola 16 Fiera Milano City 20145 Milan Italy
Italy,Milan,Antares Hotel Rubens,Via Rubens 21 San Siro 20148 Milan Italy
Italy,Milan,Armani Hotel Milano,Via Manzoni 31 Milan City Center 20121 Milan Italy
Italy,Milan,Baglioni Hotel Carlton The Leading Hotels of the World,Via Senato 5 Milan City Center 20121 Milan Italy
Italy,Milan,Barcel Milan,Via Giorgio Stephenson 55 20157 Milan Italy
Italy,Milan,Best Western Antares Hotel Concorde,Viale Monza 132 Distretto Viale Monza 20127 Milan Italy
Italy,Milan,Best Western Atlantic Hotel,Via Napo Torriani 24 Central Station 20124 Milan Italy
Italy,Milan,Best Western Hotel Mirage,Viale Certosa 104 106 Certosa 20156 Milan Italy
Italy,Milan,Best Western Madison Hotel,Via Privata Leopoldo Gasparotto 8 Central Station 20124 Milan Italy
Italy,Milan,Best Western Plus Hotel Galles,Piazza Lima 2 Central Station 20124 Milan Italy
Italy,Milan,Bianca Maria Palace Hotel,Viale Bianca Maria 4 Milan City Center 20129 Milan Italy
Italy,Milan,Brunelleschi Hotel,Via Baracchini 12 Milan City Center 20123 Milan Italy
Italy,Milan,Carlyle Brera Hotel,Corso Garibaldi 84 Milan City Center 20121 Milan Italy
Italy,Milan,Colombia,Via Roberto Lepetit 15 Central Station 20124 Milan Italy
Italy,Milan,Excelsior Hotel Gallia Luxury Collection Hotel,Piazza Duca D Aosta 9 Central Station 20124 Milan Italy
Italy,Milan,Four Seasons Hotel Milano,Via Ges 6 8 Milan City Center 20121 Milan Italy
Italy,Milan,Glam Milano,Piazza Duca D Aosta 4 6 Central Station 20124 Milan Italy
Italy,Milan,Hilton Garden Inn Milan North,Via Lucio Giunio Columella 36 Distretto Viale Monza 20128 Milan Italy
Italy,Milan,Hilton Milan,Via Luigi Galvani 12 Central Station 20124 Milan Italy
Italy,Milan,Hotel Auriga,Via G B Pirelli 7 Central Station 20124 Milan Italy
Italy,Milan,Hotel Berna,Via Napo Torriani 18 Central Station 20124 Milan Italy
Italy,Milan,Hotel Carrobbio,Via Medici 3 Milan City Center 20123 Milan Italy
Italy,Milan,Hotel Cavour,Via Fatebenefratelli 21 Milan City Center 20121 Milan Italy
Italy,Milan,Hotel Crivi s,Corso di Porta Vigentina 46 Milan City Center 20122 Milan Italy
Italy,Milan,Hotel Da Vinci,Via Senigallia 6 20161 Milan Italy
Italy,Milan,Hotel Dei Cavalieri,Piazza Giuseppe Missori 1 Milan City Center 20123 Milan Italy
Italy,Milan,Hotel Galileo,Corso Europa 9 Milan City Center 20122 Milan Italy
Italy,Milan,Hotel Liberty,Viale Bligny 56 Milan City Center 20136 Milan Italy
Italy,Milan,Hotel Manzoni,Via Santo Spirito 20 Milan City Center 20121 Milan Italy
Italy,Milan,Hotel Marconi,Via Fabio Filzi 3 Central Station 20124 Milan Italy
Italy,Milan,Hotel Mediolanum,Via Mauro Macchi 1 Central Station 20124 Milan Italy
Italy,Milan,Hotel Mercure Milano Centro,Piazza Oberdan 12 Milan City Center 20129 Milan Italy
Italy,Milan,Hotel Michelangelo,Piazza Luigi di Savoia 6 Central Station 20124 Milan Italy
Italy,Milan,Hotel Milano Scala,Via dell Orso 7 Milan City Center 20121 Milan Italy
Italy,Milan,Hotel Mozart,Piazza Gerusalemme 6 Sempione 20154 Milan Italy
Italy,Milan,Hotel Pierre Milano,Via De Amicis 32 Milan City Center 20123 Milan Italy
Italy,Milan,Hotel Principe Di Savoia,Piazza Della Repubblica 17 Central Station 20124 Milan Italy
Italy,Milan,Hotel Romana Residence,Corso di Porta Romana 64 Milan City Center 20122 Milan Italy
Italy,Milan,Hotel Santa Marta Suites,Via Santa Marta 4 Milan City Center 20123 Milan Italy
Italy,Milan,Hotel Spadari Al Duomo,Via Spadari 11 Milan City Center 20123 Milan Italy
Italy,Milan,Hotel Tiziano Park Vita Parcour Gruppo MiniHotels,Via Tiziano 6 Fiera Milano City 20145 Milan Italy
Italy,Milan,Hotel VIU Milan,6 Via Aristotile Fioravanti Garibaldi Station 20154 Milan Italy
Italy,Milan,Hotel degli Arcimboldi,Viale Sarca 336 Bicocca Zara 20125 Milan Italy
Italy,Milan,IH Hotels Milano Ambasciatori,Galleria Del Corso 3 Milan City Center 20122 Milan Italy
Italy,Milan,IH Hotels Milano Gioia,Via della Giustizia 10 D Bicocca Zara 20125 Milan Italy
Italy,Milan,IH Hotels Milano Puccini,Corso Buenos Aires 33 Central Station 20124 Milan Italy
Italy,Milan,IH Hotels Milano Watt 13,Via Giacomo Watt 13 Famagosta 20143 Milan Italy
Italy,Milan,Idea Hotel Milano San Siro,Via Gaetano Airaghi 125 20153 Milan Italy
Italy,Milan,Leonardo Hotel Milan City Center,Via Messina 10 Sempione 20154 Milan Italy
Italy,Milan,ME Milan Il Duca,Piazza della Repubblica 13 Central Station 20124 Milan Italy
Italy,Milan,Maison Borella,Alzaia Naviglio Grande 8 Navigli 20144 Milan Italy
Italy,Milan,NH Collection Milano President,Largo Augusto 10 Milan City Center 20122 Milan Italy
Italy,Milan,NH Milano Machiavelli,Via Lazzaretto 5 Central Station 20124 Milan Italy
Italy,Milan,NH Milano Touring,Via Tarchetti 2 Milan City Center 20121 Milan Italy
