country,city,hotel_name,hotel_address
Netherlands,Amsterdam,NH Carlton Amsterdam,Vijzelstraat 4 Amsterdam City Center 1017 HK Amsterdam Netherlands
Netherlands,Amsterdam,NH City Centre Amsterdam,Spuistraat 288 292 Amsterdam City Center 1012 VX Amsterdam Netherlands
Netherlands,Amsterdam,NH Collection Amsterdam Barbizon Palace,Prins Hendrikkade 59 72 Amsterdam City Center 1012 AD Amsterdam Netherlands
Netherlands,Amsterdam,NH Collection Amsterdam Doelen,Nieuwe Doelenstraat 24 Amsterdam City Center 1012 CP Amsterdam Netherlands
Netherlands,Amsterdam,NH Collection Amsterdam Grand Hotel Krasnapolsky,Dam 9 Amsterdam City Center 1012 JS Amsterdam Netherlands
Netherlands,Amsterdam,Novotel Amsterdam City,Europaboulevard 10 Zuideramstel 1083 AD Amsterdam Netherlands
Netherlands,Amsterdam,Ozo Hotel,Karspeldreef 2 Zuidoost 1101 CJ Amsterdam Netherlands
Netherlands,Amsterdam,Park Hotel,Stadhouderskade 25 Oud Zuid 1071 ZD Amsterdam Netherlands
Netherlands,Amsterdam,Park Plaza Victoria Amsterdam,Damrak 1 5 Amsterdam City Center 1012 LG Amsterdam Netherlands
Netherlands,Amsterdam,Park Plaza Vondelpark Amsterdam,Koninginneweg 34 36 Oud Zuid 1075 CZ Amsterdam Netherlands
Netherlands,Amsterdam,Pillows Anna van den Vondel Amsterdam,Anna van den Vondelstraat 6 Oud West 1054 GZ Amsterdam Netherlands
Netherlands,Amsterdam,Pulitzer Amsterdam,Prinsengracht 315 331 Amsterdam City Center 1016 GZ Amsterdam Netherlands
Netherlands,Amsterdam,Radisson Blu Hotel Amsterdam,Rusland 17 Amsterdam City Center 1012 CK Amsterdam Netherlands
Netherlands,Amsterdam,Ramada Apollo Amsterdam Centre,Staalmeesterslaan 410 Slotervaart 1057 PH Amsterdam Netherlands
Netherlands,Amsterdam,Renaissance Amsterdam Hotel,Kattengat 1 Amsterdam City Center 1012 SZ Amsterdam Netherlands
Netherlands,Amsterdam,Room Mate Aitana,IJdock 6 Amsterdam City Center 1013 MM Amsterdam Netherlands
Netherlands,Amsterdam,Savoy Hotel Amsterdam,Ferdinand Bolstraat 194 Oud Zuid 1072 LW Amsterdam Netherlands
Netherlands,Amsterdam,Sir Albert Hotel,Albert Cuypstraat 2 6 Oud Zuid 1072 CT Amsterdam Netherlands
Netherlands,Amsterdam,Sofitel Legend The Grand Amsterdam,Oudezijds Voorburgwal 197 Amsterdam City Center 1012 EX Amsterdam Netherlands
Netherlands,Amsterdam,Swiss tel Amsterdam,Damrak 96 Amsterdam City Center 1012 LP Amsterdam Netherlands
Netherlands,Amsterdam,The Hoxton Amsterdam,Herengracht 255 Amsterdam City Center 1016 BJ Amsterdam Netherlands
Netherlands,Amsterdam,The Student Hotel Amsterdam City,Wibautstraat 129 Oost 1091 GL Amsterdam Netherlands
Netherlands,Amsterdam,The Toren,Keizersgracht 164 Amsterdam City Center 1015 CZ Amsterdam Netherlands
Netherlands,Amsterdam,Urban Lodge Hotel,Arlandaweg 10 Westpoort 1043 EW Amsterdam Netherlands
Netherlands,Amsterdam,WestCord Art Hotel Amsterdam 4 stars,Spaarndammerdijk 304 Westerpark 1013 ZX Amsterdam Netherlands
Netherlands,Amsterdam,WestCord Fashion Hotel Amsterdam,Hendrikje Stoffelstraat 1 Slotervaart 1058 GC Amsterdam Netherlands
Netherlands,Amsterdam,art otel Amsterdam,Prins Hendrikkade 33 Amsterdam City Center 1012 TM Amsterdam Netherlands
Netherlands,Amsterdam,citizenM Amsterdam,Prinses Irenestraat 30 Zuideramstel 1077 WX Amsterdam Netherlands
France,Paris,1K Hotel,13 Boulevard Du Temple 3rd arr 75003 Paris France
France,Paris,AC Hotel Paris Porte Maillot by Marriott,6 rue Gustave Charpentier 17th arr 75017 Paris France
France,Paris,Acad mie H tel Saint Germain,32 rue des Saints P res 7th arr 75007 Paris France
France,Paris,Amarante Beau Manoir,6 Rue de l Arcade 8th arr 75008 Paris France
France,Paris,Amarante Champs Elys es,19 Rue Vernet 8th arr 75008 Paris France
France,Paris,Amp re,102 Avenue de Villiers 17th arr 75017 Paris France
France,Paris,Artus Hotel by MH,34 Rue de Buci 6th arr 75006 Paris France
France,Paris,Atala Champs Elys es,10 rue Chateaubriand 8th arr 75008 Paris France
France,Paris,Au Manoir Saint Germain,153 Boulevard Saint Germain 6th arr 75006 Paris France
France,Paris,Auteuil Tour Eiffel,8 10 Rue F licien David 16th arr 75016 Paris France
France,Paris,Balmoral Champs Elys es,6 rue du General Lanrezac 17th arr 75017 Paris France
France,Paris,Banke H tel,20 Rue La Fayette 9th arr 75009 Paris France
France,Paris,Bassano,15 Rue de Bassano 16th arr 75016 Paris France
France,Paris,Belfast,10 avenue Carnot 17th arr 75017 Paris France
France,Paris,Best Western Allegro Nation,33 Avenue Du Docteur Arnold Netter 12th arr 75012 Paris France
France,Paris,Best Western Amiral Hotel,98 Avenue d Italie 13th arr 75013 Paris France
